customer_state,primary_payment_type,num_customers,total_payment_value,pct_of_state_customers,lat,long
AC,credit_card,60,14187.929999999998,0.7407,-8.77,-70.55
AC,boleto,16,3908.4599999999996,0.1975,-8.77,-70.55
AC,voucher,3,753.12,0.037,-8.77,-70.55
AC,debit_card,2,349.62,0.0247,-8.77,-70.55
AL,credit_card,332,79894.41999999995,0.8039,-9.62,-36.59
AL,boleto,68,13742.619999999999,0.1646,-9.62,-36.59
AL,voucher,8,1635.7899999999997,0.0194,-9.62,-36.59
AL,debit_card,5,1226.12,0.0121,-9.62,-36.59
AM,credit_card,123,23074.379999999994,0.8311,-3.07,-60.02
AM,boleto,21,4452.12,0.1419,-3.07,-60.02
AM,debit_card,2,152.01999999999998,0.0135,-3.07,-60.02
AM,voucher,2,182.52999999999997,0.0135,-3.07,-60.02
AP,credit_card,45,12110.71,0.6618,1.41,-51.77
AP,boleto,20,3826.359999999999,0.2941,1.41,-51.77
AP,voucher,3,237.42000000000002,0.0441,1.41,-51.77
BA,credit_card,2567,496746.59000000096,0.7595,-12.96,-38.51
BA,boleto,614,95019.7,0.1817,-12.96,-38.51
BA,voucher,146,13821.65,0.0432,-12.96,-38.51
BA,debit_card,53,7053.43,0.0157,-12.96,-38.51
CE,credit_card,1063,228543.64999999962,0.7957,-3.71,-38.54
CE,boleto,205,39728.68999999997,0.1534,-3.71,-38.54
CE,voucher,48,6848.749999999999,0.0359,-3.71,-38.54
CE,debit_card,20,3073.1900000000005,0.015,-3.71,-38.54
DF,credit_card,1666,291463.1800000006,0.7785,-15.83,-47.86
DF,boleto,396,52916.90999999998,0.185,-15.83,-47.86
DF,voucher,61,7799.99,0.0285,-15.83,-47.86
DF,debit_card,17,1661.4100000000003,0.0079,-15.83,-47.86
ES,credit_card,1540,248482.07000000007,0.7575,-19.19,-40.34
ES,boleto,403,65566.32999999996,0.1982,-19.19,-40.34
ES,voucher,63,5830.810000000001,0.031,-19.19,-40.34
ES,debit_card,27,4599.82,0.0133,-19.19,-40.34
